"ID_competencia","Nombre","Descripción","ID_area","Idioma"
1,"Navegar, buscar y filtrar datos, información y contenidos digitales","Articular las necesidades de información, buscar datos, información y contenidos en entornos digitales, para acceder a ellos y navegar entre ellos. Crear y actualizar estrategias de búsqueda personales",1,"Español"
1,"Browsing, searching and filtering data, information and digital content","To articulate information needs , to search for data, information and content in digital environments, to access them and to navigate between them. To create and update personal search strategies.",1,"Inglés"
1,"Interactuar a través de tecnologías digitales","Interactuar a través de diferentes tecnologías digitales y entender los medios de comunicación digitales apropiados para un contexto determinado.",2,"Español"
1,"Interacting through digital technologies","To interact through a variety of digital technologies and to understand appropriate digital communication means for a given context.",2,"Inglés"
1,"Desarrollo de contenidos","Crear y editar contenidos digitales en formatos diferentes, expresarse a través de medios digitales.",3,"Español"
1,"Developing digital content","To create and edit digital content in different formats, to express oneself through digital means.",3,"Inglés"
1,"Protección de dispositivos","Proteger los dispositivos y los contenidos digitales, y comprender los riesgos y las amenazas en los entornos digitales. Conocer las medidas de seguridad y tener en cuenta la fiabilidad y la privacidad.",4,"Español"
1,"Protecting devices","To protect devices and digital content, and to understand risks and threats in digital environments. To know about safety and security measures and to have a due regard to reliability and privacy.",4,"Inglés"
1,"Resolución de problemas técnicos","Identificación de problemas técnicos en el uso de dispositivos y entornos digitales, y resolución de éstos (desde los más básicos a los más complejos).",5,"Español"
1,"Solving technical problems","To identify technical problems when operating devices and using digital environments, and to solve them (from trouble-shooting to solving more complex problems).",5,"Inglés"
2,"Evaluar datos, información y contenidos digitales","Articular las necesidades de información, buscar datos, información y contenidos en entornos digitales, para acceder a ellos y navegar entre ellos. Crear y actualizar estrategias.",1,"Español"
2,"Evaluating data, information and digital content","To analyse, compare and critically evaluate the credibility and reliability of sources of data, information and digital content. To analyse, interpret and critically evaluate the data, information and digital content.",1,"Inglés"
2,"Compartir a través de tecnologías digitales","Compartir datos, información y contenidos digitales con otros a través de las tecnologías adecuadas. Actuar como intermediario, conocer las prácticas de referencia y atribución.",2,"Español"
2,"Sharing through digital technologies","To share data, information and digital content with others through appropriate digital technologies. To act as an intermediary, to know about referencing and attribution practices.",2,"Inglés"
2,"Integración y reelaboración de contenido digital","Modificar, perfeccionar, mejorar e integrar información y contenido en un cuerpo de conocimiento existente para crear contenidos nuevos, originales y relevantes.",3,"Español"
2,"Integrating and re-elaborating digital content","To modify, refine and integrate new information and content into an existing body of knowledge and resources to create new, original and relevant content and knowledge.",3,"Inglés"
2,"Protección de datos personales y privacidad","Proteger los datos personales y la privacidad en los entornos digitales. Entender cómo utilizar y compartir la información personal identificable, siendo capaz de protegerse a sí mismo y a los demás de los daños. Entender que los servicios digitales utilizan una “política de privacidad” para informar sobre el uso de los datos personales.",4,"Español"
2,"Protecting personal data and privacy","To protect personal data and privacy in digital environments. To understand how to use and share personally identifiable information while being able to protect oneself and others from damages. To understand that digital services use a “Privacy policy” to inform how personal data is used.",4,"Inglés"
2,"Identificación de necesidades y respuestas tecnológicas","Evaluar las necesidades e identificar, valorar, seleccionar y utilizar las herramientas digitales y las posibles respuestas tecnológicas y resolverlas. Ajustar y personalizar los entornos digitales a las necesidades personales (por ejemplo, la accesibilidad).",5,"Español"
2,"Identifying needs and technological responses","To assess needs and to identify, evaluate, select and use digital tools and possible technological responses and to solve them. To adjust and customise digital environments to personal needs (e.g. accessibility).",5,"Inglés"
3,"Gestión de datos, información y contenidos digitales","Articular las necesidades de información, buscar datos, información y contenidos en entornos digitales, para acceder a ellos y navegar entre ellos. Crear y actualizar estrategias de búsqueda personales.",1,"Español"
3,"Managing data, information and digital content","To organise, store and retrieve data, information, and content in digital environments. To organise and process them in a structured environment.",1,"Inglés"
3,"Participación ciudadana a través de las tecnologías digitales","Participar en la sociedad a través del uso de servicios digitales públicos y privados. Buscar oportunidades de auto empoderamiento y para una ciudadanía participativa a través de tecnologías digitales apropiadas.",2,"Español"
3,"Engaging citizenship through digital technologies","To participate in society through the use of public and private digital services. To seek opportunities for self-empowerment and for participatory citizenship through appropriate digital technologies.",2,"Inglés"
3,"Derechos de autor (copyright) y licencias de propiedad intelectual","Entender cómo solicitar datos, informaciones y contenidos digitales con derechos de autor y licencias de propiedad intelectual.",3,"Español"
3,"Copyright and licences","To understand how copyright and licences apply to digital information and content.",3,"Inglés"
3,"Protección de la salud y del bienestar","Capacidades a la hora de evitar riesgos para la salud tanto física como mental en el uso de las tecnologías digitales. Capacidad a la hora de protegerse uno mismo y a otros ante los riesgos de los entornos digitales (por ejemplo: cyber-bullying).",4,"Español"
3,"Protecting health and well-being","To be able to avoid health-risks and threats to physical and psychological well-being while using digital technologies. To be able to protect oneself and others from possible dangers in digital environments (e.g. cyber bullying). To be aware of digital technologies for social well-being and social inclusion.",4,"Inglés"
3,"Uso creativo de la tecnología digital","Utilizar herramientas y tecnologías digitales para crear contenidos, procesos y productos innovadores. Participación individual y colectiva en procesos cognitivos para entender y resolver problemas conceptuales y situaciones confusas en entornos digitales.",5,"Español"
3,"Creatively using digital technology","To use digital tools and technologies to create knowledge and to innovate processes and products. To engage individually and collectively in cognitive processing to understand and resolve conceptual problems and problem situations in digital environments.",5,"Inglés"
4,"Colaboración a través de las tecnologías digitales","Uso de herramientas y tecnologías digitales en procesos colaborativos y para la coconstrucción y la cocreación de datos, recursos y conocimiento.",2,"Español"
4,"Collaborating through digital technologies","To use digital tools and technologies for collaborative processes, and for co-construction and co-creation of data, resources and knowledge.",2,"Inglés"
4,"Programación","Desarrollar secuencias de instrucciones aplicables a sistemas computacional para solucionar un problema dado o ejecutar una tarea determinada.",3,"Español"
4,"Programming","To plan and develop a sequence of understandable instructions for a computing system to solve a given problem or to perform a specific task.",3,"Inglés"
4,"Protección medioambiental","Ser consciente del impacto de las tecnologías digitales y su uso.",4,"Español"
4,"Protecting the environment","To be aware of the environmental impact of digital technologies and their use.",4,"Inglés"
4,"Identificar lagunas en las competencias digitales","Identificar dónde debo mejorar o actualizar mis propias competencias digitales. Ser capaz de ayudar a otros en el desarrollo de sus competencias digitales. Buscar oportunidades para el auto aprendizaje y mantenerse al día de la evolución del mundo digital.",5,"Español"
4,"Identifying digital competence gaps","To understand where one’s own digital competence needs to be improved or updated. To be able to support others with their digital competence development. To seek opportunities for self-development and to keep up-to-date with the digital evolution.",5,"Inglés"
5,"Comportamiento en la red","Estar al tanto de las normas de comportamiento y del “know-how” (saber cómo) en el uso de las tecnologías y en la interacción en entornos digitales. Adaptar las estrategias de comunicación a una audiencia específica, teniendo en cuenta la diversidad cultural y generacional de los entornos digitales.",2,"Español"
5,"Netiquette","To be aware of behavioural norms and know-how while using digital technologies and interacting in digital environments. To adapt communication strategies to the specific audience and to be aware of cultural and generational diversity in digital environments.",2,"Inglés"
6,"Gestión de la identidad digital","Crear y gestionar una o varias identidades digitales para poder proteger la propia reputación, para tratar los datos que uno produce a través de diversas herramientas, entornos y servicios digitales.",2,"Español"
6,"Managing digital identity","To create, and manage one or multiple digital identities, to be able to protect one’s own reputation, to deal with the data that one produces through several digital tools, environments and services.",2,"Inglés"
