"ID_nivel","Idioma","Tipo","Descripción"
1,"Español","Básico","En un nivel básico y con orientación, puedo:"
1,"Inglés","Foundation","At basic level and with guidance, I can:"
2,"Español","Básico","En un nivel básico, con autonomía y la orientación apropiada cuando sea necesario, puedo:"
2,"Inglés","Foundation","At basic level and with autonomy and appropriate guidance where needed, I can:"
3,"Español","Intermedio","Sin ayuda y en la resolución de problemas sencillos, puedo:"
3,"Inglés","Intermediate","On my own and solving straightforward problems, I can:"
4,"Español","Intermedio","De forma independiente, de acuerdo con mis propias necesidades, y en la resolución de problemas concretos y no rutinarios, puedo:"
4,"Inglés","Intermediate","Independently, according to my own needs, and solving well-defined and non-routine problems, I can:"
5,"Español","Avanzado","Además de orientar a otras personas, puedo:"
5,"Inglés","Advanced","As well as guiding others, I can:"
6,"Español","Avanzado","En un nivel avanzado, de acuerdo con mis propias necesidades y las de otros y en contextos complejos, puedo:"
6,"Inglés","Advanced","At advanced level, according to my own needs and those of others, and in complex contexts, I can:"
7,"Español","Altamente especializado","En un nivel altamente especializado, puedo:"
7,"Inglés","Highly specialised","At highly specialised level, I can:"
8,"Español","Altamente especializado","En el nivel más avanzado y especializado, puedo:"
8,"Inglés","Highly specialised","At the most advanced and specialised level, I can:"
