,1,2,3,4,5,6,7,8
adapt,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
apply,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
appropriate,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0
assess,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
choose,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
complex,0.0,0.0,0.0,0.0,0.0,0.0,20.0,21.0
content,9.0,9.0,10.0,12.0,11.0,10.0,0.0,0.0
contribute,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
creation,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0
datum,9.0,9.0,9.0,10.0,11.0,10.0,0.0,0.0
definition,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
differ,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0
discuss,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
environment,13.0,13.0,13.0,12.0,13.0,13.0,0.0,0.0
explain,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
factor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
field,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
guide,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
idea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
identify,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
indicate,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
information,9.0,9.0,10.0,12.0,10.0,10.0,0.0,0.0
integrate,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
interact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
knowledge,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0
limit,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
need,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
new,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
organisation,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
personal,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
practice,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
problem,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0
process,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
professional,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
propose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
protect,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0
recognise,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
relate,0.0,0.0,0.0,0.0,0.0,0.0,18.0,19.0
routine,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0
select,0.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0
simple,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
solution,0.0,0.0,0.0,0.0,0.0,0.0,21.0,42.0
technology,10.0,10.0,11.0,11.0,10.0,11.0,15.0,0.0
use,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
variety,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
way,12.0,12.0,12.0,11.0,12.0,9.0,0.0,0.0
