,Attitudes,Knowledge,Skills
ability,0.0,0.0,15.0
access,6.0,16.0,10.0
ai,12.0,20.0,9.0
algorithm,0.0,10.0,0.0
application,4.0,13.0,9.0
apply,0.0,0.0,7.0
appropriate,4.0,0.0,0.0
awareness,0.0,54.0,0.0
behaviour,0.0,16.0,0.0
benefit,5.0,0.0,0.0
certify,0.0,0.0,7.0
communicate,0.0,11.0,7.0
consider,10.0,0.0,0.0
content,12.0,20.0,25.0
creation,7.0,8.0,17.0
datum,11.0,46.0,22.0
device,6.0,16.0,12.0
differ,0.0,15.0,8.0
environment,5.0,18.0,7.0
exist,0.0,8.0,0.0
expression,4.0,0.0,0.0
health,0.0,8.0,0.0
help,5.0,0.0,0.0
human,7.0,0.0,0.0
identify,0.0,0.0,10.0
identity,4.0,0.0,0.0
image,0.0,12.0,0.0
impact,5.0,9.0,0.0
incline,10.0,0.0,0.0
include,0.0,11.0,0.0
information,13.0,12.0,12.0
intelligence,4.0,0.0,0.0
internet,6.0,13.0,0.0
knowledge,0.0,50.0,71.0
life,0.0,8.0,0.0
limit,0.0,9.0,0.0
manage,0.0,0.0,9.0
medium,0.0,9.0,0.0
message,0.0,0.0,8.0
online,9.0,27.0,19.0
open,15.0,0.0,8.0
order,0.0,0.0,8.0
output,0.0,9.0,0.0
people,0.0,8.0,0.0
personal,10.0,17.0,8.0
platform,0.0,0.0,7.0
problem,0.0,8.0,7.0
process,6.0,9.0,0.0
product,4.0,0.0,0.0
program,0.0,12.0,0.0
protect,0.0,9.0,0.0
purpose,0.0,0.0,8.0
recognise,0.0,8.0,8.0
rely,5.0,0.0,0.0
resource,4.0,0.0,0.0
respect,5.0,0.0,0.0
right,4.0,8.0,0.0
risk,5.0,0.0,0.0
search,0.0,8.0,13.0
seek,4.0,0.0,0.0
service,7.0,23.0,12.0
share,6.0,10.0,17.0
social,0.0,17.0,10.0
society,4.0,0.0,0.0
solution,0.0,8.0,7.0
source,5.0,0.0,0.0
strategy,5.0,0.0,8.0
system,7.0,14.0,7.0
technology,12.0,13.0,0.0
time,0.0,0.0,10.0
tool,4.0,11.0,17.0
use,10.0,18.0,30.0
user,9.0,19.0,0.0
value,6.0,0.0,0.0
video,0.0,0.0,7.0
way,5.0,0.0,0.0
web,4.0,0.0,0.0
will,7.0,0.0,0.0
